poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,office_type,house_district,senate_class,special,candidateid_0,answer_0,pct_0,candidateid_1,answer_1,pct_1,candidateid_2,answer_2,pct_2,candidateid_3,answer_3,pct_3,candidateid_4,answer_4,pct_4,candidateid_5,answer_5,pct_5,candidateid_6,answer_6,pct_6,candidateid_7,answer_7,pct_7,candidateid_8,answer_8,pct_8,candidateid_9,answer_9,pct_9,candidateid_10,answer_10,pct_10,candidateid_11,answer_11,pct_11,candidateid_12,answer_12,pct_12,candidateid_13,answer_13,pct_13,candidateid_14,answer_14,pct_14,candidateid_15,answer_15,pct_15,candidateid_16,answer_16,pct_16,candidateid_17,answer_17,pct_17,candidateid_18,answer_18,pct_18,candidateid_19,answer_19,pct_19,candidateid_20,answer_20,pct_20,candidateid_21,answer_21,pct_21,candidateid_22,answer_22,pct_22,candidateid_23,answer_23,pct_23,candidateid_24,answer_24,pct_24
32810,399,Rasmussen (Pulse Opinion Research),"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,IVR,Connecticut,10/31/10,10/31/10,,"",,83676,750,lv,,lv,,7/17/18 13:19,"",www.rasmussenreports.com/public_content/politics/elections/election_2010/election_2010_governor_elections/connecticut/questions/questions_connecticut_governor_october_31_2010,538,false,,1280,Governor,,,false,11281,Dannel P. Malloy,46.0,11282,Thomas C. Foley,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52928,461,Susquehanna,"","",Susquehanna Polling & Research,326,Susquehanna Polling & Research Inc.,B+,IVR,Florida,10/31/10,11/1/10,,"",,83708,1526,lv,,lv,,7/17/18 13:22,"",www.sunshinestatenews.com/story/poll-last-minute-spike-boosting-rick-scott-poll-shows,538,false,,1281,Governor,,,false,11283,Alex Sink,45.0,11284,Rick Scott,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42410,160,Fox News (Pulse Opinion Research),149,FOX News,Fox News (Pulse Opinion Research),277,Rasmussen Reports/Pulse Opinion Research,B,IVR,Colorado,10/30/10,10/30/10,,"",,83646,1000,lv,,lv,,7/17/18 13:15,"",http://www.foxnews.com/projects/pdf/CO_Topline.pdf,538,false,,1279,Governor,,,false,11279,John Wright Hickenlooper,47.0,11280,Dan Maes,6.0,13666,Tom Tancredo,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32802,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR,Illinois,10/30/10,10/31/10,,"",,83803,814,lv,,lv,,7/17/18 13:28,"",https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_IL_110513.pdf,538,false,,1285,Governor,,,false,11291,Pat Quinn,44.0,11292,William E. Brady,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR,Nevada,10/30/10,10/31/10,,"",,83979,682,lv,,lv,,7/17/18 13:49,"",www.publicpolicypolling.com/pdf/PPP_Release_NV_1101110.pdf,538,false,,1297,Governor,,,false,11312,Rory Reid,44.0,11313,Brian E. Sandoval,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32800,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR,Pennsylvania,10/30/10,10/31/10,,"",,84200,772,lv,,lv,,7/17/18 14:25,"",www.publicpolicypolling.com/pdf/PPP_Release_PA_10311118.pdf,538,false,,1301,Governor,,,false,11326,Dan Onorato,45.0,11327,Thomas W. Corbett,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32799,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR,Alaska,10/30/10,10/31/10,,"",,83524,1539,lv,,lv,,7/17/18 12:56,"",https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_AKKYNVNCOHWA_1115.pdf,538,false,,1275,Governor,,,false,11270,Ethan Berkowitz,43.0,11271,Sean R. Parnell,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42418,160,Fox News (Pulse Opinion Research),149,FOX News,Fox News (Pulse Opinion Research),277,Rasmussen Reports/Pulse Opinion Research,B,IVR,Ohio,10/30/10,10/30/10,,"",,84097,1000,lv,,lv,,7/17/18 13:58,"",http://www.foxnews.com/projects/pdf/OH_Topline.pdf,538,false,,1299,Governor,,,false,11320,Ted Strickland,44.0,11321,John Richard Kasich,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32801,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR,Colorado,10/30/10,10/31/10,,"",,83645,1059,lv,,lv,,7/17/18 13:15,"",https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_CO_1101424.pdf,538,false,,1279,Governor,,,false,11279,John Wright Hickenlooper,48.0,11280,Dan Maes,8.0,13666,Tom Tancredo,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32802,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR,Illinois,10/30/10,10/31/10,,"",,137966,814,lv,,lv,,12/8/20 09:28,"",https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_IL_110513.pdf,538,false,,1285,Governor,,,false,11291,Pat Quinn,40.0,11292,William E. Brady,45.0,16299,Rich Whitney,5.0,16300,Scott Lee Cohen,4.0,16301,Lex C. Green,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
