poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,office_type,house_district,senate_class,special,candidateid_0,answer_0,pct_0,candidateid_1,answer_1,pct_1,candidateid_2,answer_2,pct_2,candidateid_3,answer_3,pct_3,candidateid_4,answer_4,pct_4,candidateid_5,answer_5,pct_5,candidateid_6,answer_6,pct_6,candidateid_7,answer_7,pct_7,candidateid_8,answer_8,pct_8,candidateid_9,answer_9,pct_9,candidateid_10,answer_10,pct_10,candidateid_11,answer_11,pct_11,candidateid_12,answer_12,pct_12,candidateid_13,answer_13,pct_13,candidateid_14,answer_14,pct_14,candidateid_15,answer_15,pct_15,candidateid_16,answer_16,pct_16,candidateid_17,answer_17,pct_17,candidateid_18,answer_18,pct_18,candidateid_19,answer_19,pct_19,candidateid_20,answer_20,pct_20,candidateid_21,answer_21,pct_21,candidateid_22,answer_22,pct_22,candidateid_23,answer_23,pct_23,candidateid_24,answer_24,pct_24
56821,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,314,St. Pete Polls,B+,IVR,Florida,11/5/18,11/5/18,,"",,91576,1194,lv,,lv,,11/6/18 08:57,"",http://stpetepolls.org/files/StPetePolls_2018_CD15_GEN_November5_WHB2.pdf,538,false,,268,U.S. House,15,,false,12518,Kristen Carlson,44.3,11594,Ross Spano,46.2,,Undecided,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,"",,91555,501,lv,,lv,,11/5/18 19:01,"",https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,false,DEM,372,U.S. House,8,,false,11402,Elissa Slotkin,47.0,11401,Mike Bishop,46.0,13204,Brian Ellison,3.0,13205,David Jay Lillis,0.0,,Not sure,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,North Carolina,11/2/18,11/4/18,,"",,91513,567,lv,,lv,,11/5/18 14:37,"",https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,false,DEM,412,U.S. House,13,,false,11181,Kathy Manning,43.0,11182,Ted Budd,43.0,11350,Thomas Aaron Bailey,2.0,11351,Robert Corriher,1.0,,Not sure,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56760,1365,Change Research,"","",Change Research,48,Change Research,B-,Online,South Dakota,11/2/18,11/4/18,,"",,91455,851,lv,,lv,,11/5/18 00:10,"",https://twitter.com/ChangePolls/status/1059301248380223488,538,false,,518,U.S. House,1,,false,11389,Tim Bjorkman,41.0,11388,Dusty Johnson,51.0,13222,Ronald Wieczorek,3.0,13223,George D. Hendrickson,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56812,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Michigan,11/2/18,11/4/18,,"",,91554,460,lv,,lv,,11/5/18 18:59,"",https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,false,DEM,370,U.S. House,6,,false,11792,Matt Longjohn,42.0,11793,Fred Upton,40.0,13250,Stephen J. Young,3.0,,Not sure,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56820,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Ohio,11/2/18,11/4/18,,"",,91575,457,lv,,lv,,11/6/18 08:34,"",https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,false,DEM,465,U.S. House,1,,false,11183,Aftab Pureval,44.0,11184,Steve Chabot,47.0,12575,Dirk Kubala,2.0,,Not sure,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56761,1365,Change Research,"","",Change Research,48,Change Research,B-,Online,Wyoming,11/2/18,11/4/18,,"",,91456,858,lv,,lv,,11/5/18 00:11,"",https://twitter.com/ChangePolls/status/1059302464313188352,538,false,,601,U.S. House,1,,false,13247,Greg Hunter,28.0,12154,Liz Cheney,55.0,13248,Richard P. Brubaker,7.0,13249,Daniel Clyde Cummings,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56818,1365,Change Research,"","",Change Research,48,Change Research,B-,Online,Ohio,11/2/18,11/4/18,,"",,91574,350,lv,,lv,,11/6/18 08:34,"",https://twitter.com/ChangePolls/status/1059294038061277184,538,false,,468,U.S. House,4,,false,11946,Janet Garrett,36.0,11947,Jim Jordan,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56788,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Georgia,11/2/18,11/4/18,,"",,91510,395,lv,,lv,,11/5/18 14:36,"",https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,false,DEM,286,U.S. House,6,,false,11647,Lucy McBath,51.0,11648,Karen Handel,45.0,,Not sure,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56791,1365,Change Research,948,Health Care Voter,Change Research,48,Change Research,B-,Online,Virginia,11/2/18,11/4/18,,"",,91515,710,lv,,lv,,11/5/18 14:37,"",https://healthcarevoter.org/new-house-polls-voters-cite-health-care-top-issue-ahead-midterm-elections/,538,false,DEM,569,U.S. House,2,,false,11192,Elaine G. Luria,47.0,11193,Scott W. Taylor,47.0,,Not sure,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
