poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,office_type,house_district,senate_class,special,candidateid_0,answer_0,pct_0,candidateid_1,answer_1,pct_1,candidateid_2,answer_2,pct_2,candidateid_3,answer_3,pct_3,candidateid_4,answer_4,pct_4,candidateid_5,answer_5,pct_5,candidateid_6,answer_6,pct_6,candidateid_7,answer_7,pct_7,candidateid_8,answer_8,pct_8,candidateid_9,answer_9,pct_9,candidateid_10,answer_10,pct_10,candidateid_11,answer_11,pct_11,candidateid_12,answer_12,pct_12,candidateid_13,answer_13,pct_13,candidateid_14,answer_14,pct_14,candidateid_15,answer_15,pct_15,candidateid_16,answer_16,pct_16,candidateid_17,answer_17,pct_17,candidateid_18,answer_18,pct_18,candidateid_19,answer_19,pct_19,candidateid_20,answer_20,pct_20,candidateid_21,answer_21,pct_21,candidateid_22,answer_22,pct_22,candidateid_23,answer_23,pct_23,candidateid_24,answer_24,pct_24
56923,1365,Change Research,"","",Change Research,48,Change Research,B-,Online,Mississippi,11/25/18,11/25/18,,"",,91852,1211,lv,,lv,,11/26/18 14:30,"",https://twitter.com/ChangePolls/status/1067122676819406848,538,false,,6209,U.S. Senate,,II,true,13168,Mike Espy,46.0,13169,Cindy Hyde-Smith,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56921,1469,JMC Analytics/Bold Blue Campaigns,460,Red Racing Horses,JMC Analytics/Bold Blue Campaigns,503,JMC Analytics/Bold Blue Campaigns,B/C,Live Phone,Mississippi,11/19/18,11/24/18,,"",,91850,684,lv,,lv,,11/25/18 15:03,"conducted November 19-21 and 23-24, 2018",https://rrhelections.com/index.php/2018/11/25/rrh-elections-mississippi-senate-runoff-poll-cindy-hyde-smith-r-leads-mike-espy-d-54-44/,538,false,,6209,U.S. Senate,,II,true,13168,Mike Espy,44.0,13169,Cindy Hyde-Smith,54.0,,Undecided,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56815,317,Mitchell,"","",Mitchell Research & Communications,213,Mitchell Research & Communications,C-,IVR,Michigan,11/5/18,11/5/18,,"",,91569,827,lv,,lv,,11/6/18 01:02,"",https://www.realclearpolitics.com/docs/Mitchell_Poll_Press_Release_11_5_18_A.pdf,538,false,,106,U.S. Senate,,I,false,11408,Debbie Stabenow,49.0,11409,John James,46.0,,Another party,1.0,,Undecided,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56827,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR,Arizona,11/4/18,11/5/18,,"",,91585,1217,lv,,lv,,11/6/18 13:43,"",https://drive.google.com/file/d/1DweH2M5vtRBruravV9LBks-ef5QgJK1b/view,538,false,REP,96,U.S. Senate,,I,false,12409,Kyrsten Sinema,45.3,12410,Martha McSally,47.4,,Other,1.5,,Undecided,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56825,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR,Florida,11/4/18,11/5/18,,"",,91583,1484,lv,,lv,,11/6/18 12:24,"",https://drive.google.com/file/d/1ExmsCdRQYGvT7jRxcQx5NZlr7Gq40nWD/view,538,false,REP,100,U.S. Senate,,I,false,12413,Bill Nelson,47.3,12414,Rick Scott,49.0,,Undecided,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56772,317,Mitchell,"","",Mitchell Research & Communications,213,Mitchell Research & Communications,C-,IVR,Michigan,11/4/18,11/4/18,,"",,91482,701,lv,,lv,,11/5/18 08:46,"",https://www.realclearpolitics.com/docs/MI_11-18_Mitchell_Poll_Press_Release_11-5-18_.pdf,538,false,,106,U.S. Senate,,I,false,11408,Debbie Stabenow,53.0,11409,John James,46.0,,Another Party,0.0,,Undecided,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56833,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Missouri,11/3/18,11/5/18,,"",,91593,600,lv,,lv,TRUE,11/6/18 16:48,"",https://www.alliancenrfpoll.com/,538,false,,109,U.S. Senate,,I,false,11410,Claire McCaskill,44.7,11411,Josh Hawley,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56771,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,314,St. Pete Polls,B+,IVR,Florida,11/3/18,11/4/18,,"",,91481,3088,lv,,lv,,11/5/18 08:46,"",http://stpetepolls.org/files/StPetePolls_2018_State_GEN_GovSenCFO_November04_UI8E.pdf,538,false,,100,U.S. Senate,,I,false,12413,Bill Nelson,49.9,12414,Rick Scott,46.2,,Undecided,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56830,1416,HarrisX,747,Auto Alliance,HarrisX,133,Harris Insights & Analytics,B+,Online,Florida,11/3/18,11/5/18,,"",,91591,600,lv,,lv,TRUE,11/6/18 16:48,"",https://www.alliancenrfpoll.com/,538,false,,100,U.S. Senate,,I,false,12413,Bill Nelson,47.6,12414,Rick Scott,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56817,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR,Texas,11/3/18,11/5/18,,"",,91571,2135,lv,,lv,,11/6/18 06:40,"",https://drive.google.com/file/d/18h31Oi90C0teXatPo1CQgpuKnee-MscF/view,538,false,REP,121,U.S. Senate,,I,false,11125,Beto O'Rourke,43.2,11126,Ted Cruz,52.1,,Other,1.2,,Undecided,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
