poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,office_type,house_district,senate_class,special,candidateid_0,answer_0,pct_0,candidateid_1,answer_1,pct_1,candidateid_2,answer_2,pct_2,candidateid_3,answer_3,pct_3,candidateid_4,answer_4,pct_4,candidateid_5,answer_5,pct_5,candidateid_6,answer_6,pct_6,candidateid_7,answer_7,pct_7,candidateid_8,answer_8,pct_8,candidateid_9,answer_9,pct_9,candidateid_10,answer_10,pct_10,candidateid_11,answer_11,pct_11,candidateid_12,answer_12,pct_12,candidateid_13,answer_13,pct_13,candidateid_14,answer_14,pct_14,candidateid_15,answer_15,pct_15,candidateid_16,answer_16,pct_16,candidateid_17,answer_17,pct_17,candidateid_18,answer_18,pct_18,candidateid_19,answer_19,pct_19,candidateid_20,answer_20,pct_20,candidateid_21,answer_21,pct_21,candidateid_22,answer_22,pct_22,candidateid_23,answer_23,pct_23,candidateid_24,answer_24,pct_24
81203,235,InsiderAdvantage,1457,Center for American Greatness,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Nevada,10/20/22,10/20/22,,"",,163874,550,lv,,lv,,10/23/22 11:06,"",https://amgreatness.com/2022/10/23/poll-republicans-lexalt-and-lombardo-leading-democrats-in-nevada-senate-and-gubernatorial-races/,"",false,,8972,Governor,,,false,28669,Steve Sisolak,42.8,28671,Joe Lombardo,48.5,30134,Brandon Davis,4.1,,Undecided,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81188,1497,co/efficient,"","",co/efficient,514,co/efficient,B/C,IVR/Text,Arizona,10/20/22,10/21/22,,"",,163831,1111,lv,,lv,,10/21/22 16:48,"",https://coefficient.org/arizonastatewide/,"",false,,8954,Governor,,,false,28718,Katie Hobbs,45.3,28719,Kari Lake,48.6,,Undecided,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81152,235,InsiderAdvantage,566,Fox 29 Philadelphia WTXF,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Pennsylvania,10/19/22,10/19/22,,"",,163719,550,lv,,lv,,10/20/22 13:45,"",https://www.fox29.com/election/insideradvantage-fox-29-poll-fetterman-oz-neck-and-neck-as-shapiros-lead-narrows,"",false,,8979,Governor,,,false,29888,Josh Shapiro,48.5,30156,Douglas V. Mastriano,42.2,29886,Matt Hackenburg,2.2,,Undecided,6.1,,Other,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81174,317,Mitchell,801,MIRS News Service,Mitchell Research & Communications,213,Mitchell Research & Communications,C-,IVR,Michigan,10/19/22,10/19/22,,"",,163787,541,lv,,lv,,10/21/22 10:45,"",https://www.nationalreview.com/corner/republicans-close-gap-in-michigan-and-minnesota-governor-races-polls-say/,"",false,,8969,Governor,,,false,18853,Gretchen Whitmer,49.0,28659,Tudor M. Dixon,47.0,,Undecided,8.0,,Other,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81204,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Ohio,10/18/22,10/22/22,,"",,163877,1547,lv,,lv,TRUE,10/23/22 11:06,"",https://www.cygn.al/cygnal-momentum-tracking-poll-ohio-statewide-10-23-22/,"",false,,8976,Governor,,,false,28603,Nan Whaley,37.0,28604,Mike DeWine,54.6,,Undecided,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81184,1497,co/efficient,"","",co/efficient,514,co/efficient,B/C,IVR/Text,New York,10/18/22,10/19/22,,"",,163822,1056,lv,,lv,,10/21/22 13:40,"",https://coefficient.org/nygov1021/,"",false,,8975,Governor,,,false,28809,Kathy C. Hochul,45.0,28810,Lee M. Zeldin,46.0,,Undecided,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81182,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,B/C,Online,Pennsylvania,10/18/22,10/20/22,,"",,163820,500,rv,,rv,,10/21/22 12:32,"",https://twitter.com/EchelonInsights/status/1583491930729877505,"",false,,8979,Governor,,,false,29888,Josh Shapiro,50.0,30156,Douglas V. Mastriano,38.0,29885,Christina P.K. DiGiulio,1.0,29886,Matt Hackenburg,1.0,29887,Joe Soloski,1.0,,Undecided,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81195,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/17/22,10/21/22,,"",,163841,1904,lv,,lv,TRUE,10/22/22 11:15,"",https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-22-22/,"",false,,8969,Governor,,,false,18853,Gretchen Whitmer,49.8,28659,Tudor M. Dixon,43.5,,Undecided,3.6,,Other,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81163,211,Hendrix College,1002,Talk Business & Politics,Hendrix College,138,Hendrix College,B/C,Text,Arkansas,10/17/22,10/18/22,,"",,163738,974,lv,,lv,,10/20/22 21:54,"",https://talkbusiness.net/2022/10/poll-boozman-griffin-see-leads-grow-sanders-lead-unchanged/,"",false,,8955,Governor,,,false,28834,Chris Jones,41.0,29381,Sarah Huckabee Sanders,51.0,28836,Ricky Dale Harrington Jr.,3.0,,Undecided,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81147,785,Hoffman Research,"","",Hoffman Research Group,141,Hoffman Research Group,B/C,Live Phone,Oregon,10/17/22,10/18/22,,"",,163692,684,lv,,lv,,10/20/22 09:34,"",https://www.wweek.com/news/2022/10/19/new-independent-poll-shows-drazan-with-slight-lead-over-kotek-but-pollster-calls-governors-race-a-toss-up/,"",false,,8978,Governor,,,false,29873,Tina Kotek,35.0,30200,Christine Drazan,37.0,29872,Betsy Johnson,17.0,,Undecided,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81162,1250,Trafalgar Group,1885,Alpha News,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Minnesota,10/17/22,10/19/22,,"",,163736,1091,lv,,lv,,10/20/22 21:40,"",https://alphanews.org/exclusive-jensen-takes-lead-in-minnesota-governors-race/,"",false,REP,8970,Governor,,,false,28733,Tim Walz,45.8,28736,Scott Jensen,46.3,30279,Hugh McTavish,1.4,30501,James McCaskel,1.2,30500,Steve Patterson,0.9,30499,Gabrielle M. Prosser,0.4,,Undecided,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81169,147,Fabrizio,"","","Fabrizio, Lee & Associates",90,"Fabrizio, Lee & Associates",B/C,Live Phone/Online,New Hampshire,10/17/22,10/19/22,18228,Donald C. Bolduc,REP,163764,600,lv,,lv,,10/21/22 09:53,"",https://twitter.com/WMUR9/status/1583435213396668416,"",false,REP,8973,Governor,,,false,29590,Tom Sherman,40.0,28913,Chris Sununu,57.0,,Undecided,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81206,1687,Bold Decision,"","",Bold Decision,686,Core Decision Analytics,,Online,New York,10/16/22,10/20/22,,"",,163879,1204,lv,,lv,,10/23/22 20:24,"",https://www.bold-decision.com/nygovpoll,"",false,,8975,Governor,,,false,28809,Kathy C. Hochul,52.0,28810,Lee M. Zeldin,37.0,,Undecided,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81173,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Ohio,10/16/22,10/20/22,,"",,163786,1540,lv,,lv,TRUE,10/21/22 10:43,"",https://www.cygn.al/cygnal-momentum-tracking-poll-ohio-statewide-10-21-22/,"",false,,8976,Governor,,,false,28603,Nan Whaley,37.0,28604,Mike DeWine,54.9,,Undecided,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81121,1250,Trafalgar Group,1681,The Daily Wire,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Arizona,10/16/22,10/17/22,,"",,163548,1078,lv,,lv,,10/19/22 09:23,"",https://www.dailywire.com/news/hold-exclusive-poll-kari-lake-in-lead-for-arizona-gov-masters-trails-kelly-by-one-point-for-senate,"",false,REP,8954,Governor,,,false,28718,Katie Hobbs,46.4,28719,Kari Lake,49.2,,Undecided,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81107,235,InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Georgia,10/16/22,10/16/22,,"",,163487,550,lv,,lv,,10/18/22 09:36,"",https://insideradvantage.com/2022/10/17/insideradvantage-poll-warnock-holds-slim-lead-kemp-enjoys-commanding-advantage-jones-ahead-in-lt-gov-s-race/,"",false,,8960,Governor,,,false,16673,Stacey Abrams,42.9,16674,Brian Kemp,50.3,29536,Shane Hazel,1.4,,Undecided,5.2,,Other,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81197,1515,Data for Progress,"","",Data for Progress,522,Data for Progress,B,Online/Text,Oregon,10/16/22,10/18/22,,"",,163856,1021,lv,,lv,,10/22/22 19:29,"",https://www.filesforprogress.org/datasets/2022/10/dfp_oregon_october18_2022_tabs.pdf,"",false,,8978,Governor,,,false,29873,Tina Kotek,42.0,30200,Christine Drazan,43.0,29872,Betsy Johnson,12.0,,Undecided,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81112,262,Landmark Communications,"","",Landmark Communications,166,Landmark Communications,A,,Georgia,10/15/22,10/17/22,,"",,163520,500,lv,,lv,,10/18/22 14:05,"",https://www.atlantanewsfirst.com/2022/10/18/brian-kemp-continues-leading-stacey-abrams-us-senate-race-tied-new-landmark-poll/,"",false,,8960,Governor,,,false,16673,Stacey Abrams,44.6,16674,Brian Kemp,51.2,29536,Shane Hazel,2.3,,Undecided,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81154,1447,Civiqs,"","",Civiqs,471,Civiqs,B-,Online,Oregon,10/15/22,10/18/22,,"",,163720,804,lv,,lv,,10/20/22 13:45,"",https://civiqs.com/documents/Civiqs_OR_banner_book_2022_10_m9s22r.pdf,"",false,,8978,Governor,,,false,29873,Tina Kotek,47.0,30200,Christine Drazan,39.0,29872,Betsy Johnson,7.0,,Undecided,5.0,,Other,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81205,1523,Beacon Research,1214,Democratic Policy Institute,Beacon Research,545,Beacon Research,B/C,Live Phone/Text,Texas,10/15/22,10/19/22,,"",,163878,1264,rv,,rv,,10/23/22 20:10,"",https://www.kxan.com/news/texas-politics/outlier-poll-shows-closer-race-between-orourke-and-abbott/amp/,"",false,DEM,8984,Governor,,,false,28252,Beto O'Rourke,45.0,19215,Greg Abbott,48.0,,Undecided,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81097,1722,Sachs Media,972,Florida Politics,Sachs Media,706,Sachs Media,,Online,Florida,10/15/22,10/15/22,,"",,163447,600,lv,,lv,,10/17/22 21:00,"",https://floridapolitics.com/archives/564648-last-call-for-10-17-22-a-prime-time-read-of-whats-going-down-in-florida-politics/,"",false,,8959,Governor,,,false,18852,Charlie Crist,42.0,18851,Ron DeSantis,52.0,,Undecided,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81151,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/15/22,10/19/22,,"",,163714,1793,lv,,lv,TRUE,10/20/22 11:21,"",https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-20-22/,"",false,,8969,Governor,,,false,18853,Gretchen Whitmer,49.4,28659,Tudor M. Dixon,43.6,,Undecided,4.0,,Other,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
