poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,office_type,house_district,senate_class,special,candidateid_0,answer_0,pct_0,candidateid_1,answer_1,pct_1,candidateid_2,answer_2,pct_2,candidateid_3,answer_3,pct_3,candidateid_4,answer_4,pct_4,candidateid_5,answer_5,pct_5,candidateid_6,answer_6,pct_6,candidateid_7,answer_7,pct_7,candidateid_8,answer_8,pct_8,candidateid_9,answer_9,pct_9,candidateid_10,answer_10,pct_10,candidateid_11,answer_11,pct_11,candidateid_12,answer_12,pct_12,candidateid_13,answer_13,pct_13,candidateid_14,answer_14,pct_14,candidateid_15,answer_15,pct_15,candidateid_16,answer_16,pct_16,candidateid_17,answer_17,pct_17,candidateid_18,answer_18,pct_18,candidateid_19,answer_19,pct_19,candidateid_20,answer_20,pct_20,candidateid_21,answer_21,pct_21,candidateid_22,answer_22,pct_22,candidateid_23,answer_23,pct_23,candidateid_24,answer_24,pct_24
81083,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Georgia,10/14/22,10/16/22,,"",,163420,515,lv,,lv,,10/17/22 09:53,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/10/GA2-Gen-Poll-Report-1017.pdf,"",false,REP,9106,U.S. House,2,,false,29016,Sanford Bishop,50.2,30431,Chris West,46.3,,Undecided,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81094,460,SurveyUSA,84,KSTP-TV Minneapolis,SurveyUSA,325,SurveyUSA,A,IVR/Online,Minnesota,10/13/22,10/16/22,,"",,163443,586,lv,,lv,,10/17/22 20:26,"",https://kstp.com/kstp-news/top-news/kstp-surveyusa-poll-craig-kistner-race-in-2nd-district-looking-like-rerun/,"",false,,9210,U.S. House,2,,false,29111,Angie Craig,46.0,29686,Tyler Kistner,45.0,30211,Paula M. Overby,5.0,,Undecided,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81087,1239,Jayhawk Consulting,"","",Jayhawk Consulting Services,157,Jayhawk Consulting Services,C/D,Live Phone,Kansas,10/10/22,10/12/22,29624,Patrick Schmidt,DEM,163428,500,lv,,lv,,10/17/22 15:41,"",https://projects.fivethirtyeight.com/polls/20221017_KS2_JCSSchmidtInternal.pdf,"",true,DEM,9155,U.S. House,2,,false,29624,Patrick Schmidt,42.0,29058,Jake LaTurner,45.0,,Undecided,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81072,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Live Phone/Text,New York,10/10/22,10/12/22,30424,Michael V. Lawler,REP,163347,400,lv,,lv,,10/15/22 12:33,"",https://nypost.com/2022/10/14/mike-lawler-leads-pelosi-pal-dccc-chair-sean-patrick-maloney-poll/,"",true,REP,9270,U.S. House,17,,false,30304,Sean Patrick Maloney,46.0,30424,Michael V. Lawler,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81108,187,Greenberg Quinlan Rosner,"","",GQR,126,GQR Research (GQRR),B,,North Carolina,10/10/22,10/13/22,30157,Don Davis,DEM,163489,402,lv,,lv,,10/18/22 09:41,"",https://twitter.com/DonDavisNC/status/1582341445230686208,"",true,DEM,9281,U.S. House,1,,false,30157,Don Davis,54.0,30158,Sandy Smith,39.0,,Undecided,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81082,1347,Cygnal Political,1914,Leadership for a Strong America,Cygnal,67,Cygnal,B+,,Florida,10/9/22,10/11/22,,"",,163419,300,lv,,lv,,10/17/22 09:43,"",https://floridapolitics.com/archives/564379-new-poll-finds-maria-elvira-salazar-leading-tight-race-against-annette-taddeo/,"",false,REP,9104,U.S. House,27,,false,30282,Annette Taddeo,44.0,29014,María Elvira Salazar,50.0,,Undecided,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81009,1237,David Binder Research,"","",David Binder Research,578,David Binder Research,B/C,,Florida,10/4/22,10/6/22,,"",,163115,600,lv,,lv,,10/11/22 13:33,"",https://floridapolitics.com/archives/563112-poll-anna-paulina-luna-eric-lynn-tied-in-cd-13/,"",false,,9090,U.S. House,13,,false,30414,Eric Lynn,47.0,29510,Anna Paulina Luna,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80988,176,Glengariff Group Inc.,"167,168",Detroit News | WDIV-TV,Glengariff Group,117,Glengariff Group,B/C,Live Phone,Michigan,10/4/22,10/6/22,,"",,163066,400,lv,,lv,,10/10/22 20:09,"",https://www.clickondetroit.com/decision-2022/2022/10/10/poll-james-leads-marlinga-in-key-macomb-county-congressional-race/,"",false,,9204,U.S. House,10,,false,28803,Carl J. Marlinga,36.1,28802,John James,44.0,,Undecided,13.3,,Other,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81093,379,POS,452,NRCC,Public Opinion Strategies,260,Public Opinion Strategies,A-,Live Phone,Connecticut,10/4/22,10/6/22,29478,George Logan,REP,163442,400,lv,,lv,,10/17/22 20:12,"",https://twitter.com/tencor_7144/status/1582128871490527232?s=46&t=V5uM7Y900Er-6_IJTmP0_A,"",true,REP,9076,U.S. House,5,,false,28991,Jahana Hayes,48.0,29478,George Logan,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80964,1388,SEA Polling,"","",SEA Polling and Strategic Design,302,SEA Polling & Strategic Design,B/C,Live Phone,Florida,10/3/22,10/5/22,30282,Annette Taddeo,DEM,162985,400,lv,,lv,,10/7/22 09:07,"",https://floridapolitics.com/archives/562241-poll-annette-taddeo-in-statistical-tie-with-maria-elvira-salazar-for-cd-27/,"",true,DEM,9104,U.S. House,27,,false,30282,Annette Taddeo,47.0,29014,María Elvira Salazar,46.3,,Undecided,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
