poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,office_type,house_district,senate_class,special,candidateid_0,answer_0,pct_0,candidateid_1,answer_1,pct_1,candidateid_2,answer_2,pct_2,candidateid_3,answer_3,pct_3,candidateid_4,answer_4,pct_4,candidateid_5,answer_5,pct_5,candidateid_6,answer_6,pct_6,candidateid_7,answer_7,pct_7,candidateid_8,answer_8,pct_8,candidateid_9,answer_9,pct_9,candidateid_10,answer_10,pct_10,candidateid_11,answer_11,pct_11,candidateid_12,answer_12,pct_12,candidateid_13,answer_13,pct_13,candidateid_14,answer_14,pct_14,candidateid_15,answer_15,pct_15,candidateid_16,answer_16,pct_16,candidateid_17,answer_17,pct_17,candidateid_18,answer_18,pct_18,candidateid_19,answer_19,pct_19,candidateid_20,answer_20,pct_20,candidateid_21,answer_21,pct_21,candidateid_22,answer_22,pct_22,candidateid_23,answer_23,pct_23,candidateid_24,answer_24,pct_24
81107,235,InsiderAdvantage,"","",InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Georgia,10/16/22,10/16/22,,"",,163488,550,lv,,lv,,10/18/22 09:37,"",https://insideradvantage.com/2022/10/17/insideradvantage-poll-warnock-holds-slim-lead-kemp-enjoys-commanding-advantage-jones-ahead-in-lt-gov-s-race/,"",false,,8925,U.S. Senate,,III,false,19086,Raphael Warnock,46.3,19088,Herschel Junior Walker,43.4,29535,Chase Oliver,3.9,,Undecided,5.8,,Other,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81091,1553,Amber Integrated,"","",Amber Integrated,556,Amber Integrated,B/C,Live Phone/Online,Oklahoma,10/13/22,10/15/22,,"",,163440,500,lv,,lv,,10/17/22 17:28,"",https://www.koco.com/article/oklahoma-amber-integrated-second-new-poll-data/41652404,"",false,,9482,U.S. Senate,,II,true,29866,Kendra Horn,39.0,29865,Markwayne Mullin,52.0,30093,Robert Murphy,3.0,30094,Ray Woods,2.0,,Undecided,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81091,1553,Amber Integrated,"","",Amber Integrated,556,Amber Integrated,B/C,Live Phone/Online,Oklahoma,10/13/22,10/15/22,,"",,163439,500,lv,,lv,,10/17/22 17:28,"",https://www.koco.com/article/oklahoma-amber-integrated-second-new-poll-data/41652404,"",false,,8943,U.S. Senate,,III,false,30519,Madison Horn,36.0,29287,James Lankford,52.0,30095,Kenneth D. Blevins,3.0,30096,Micahael L. Delaney,4.0,,Undecided,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81098,438,Siena,"","",Siena College,305,Siena College,A,Live Phone,New York,10/12/22,10/14/22,,"",,163449,707,lv,,lv,,10/17/22 21:05,"",https://www.scribd.com/document/601168109/Siena-College-poll,"",false,,8939,U.S. Senate,,III,false,29286,Charles E. Schumer,57.0,29771,Joe Pinion,37.0,,Undecided,5.0,,Other,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81050,235,InsiderAdvantage,503,Fox 10 Phoenix,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,Arizona,10/11/22,10/11/22,,"",,163276,550,rv,,rv,,10/13/22 12:23,"",https://www.fox10phoenix.com/news/2022-election-lake-leads-arizona-governors-race-kelly-remains-ahead-in-senate-race.amp,"",false,,8919,U.S. Senate,,III,false,20633,Mark Kelly,46.0,28668,Blake Masters,41.6,30075,Marc Victor,5.0,,Undecided,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81089,458,Suffolk,135,USA Today,Suffolk University,323,Suffolk University,B+,Live Phone,Ohio,10/11/22,10/15/22,,"",,163430,500,lv,,lv,,10/17/22 16:16,"",https://www.usatoday.com/story/news/politics/2022/10/17/senate-race-ohio-poll-close/10518797002/,"",false,,8942,U.S. Senate,,III,false,19168,Tim Ryan,45.0,19167,J.D. Vance,47.0,,Undecided,6.2,,Other,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81014,383,PPP,"","",Public Policy Polling,263,Public Policy Polling,A-,IVR/Text,Louisiana,10/10/22,10/11/22,,"",,163131,633,lv,,lv,,10/11/22 18:17,"",https://projects.fivethirtyeight.com/polls/20221011_LA_PPP.pdf,"",false,,8933,U.S. Senate,,III,false,29461,Luke Mixon,16.0,29284,John Kennedy,53.0,29462,Syrita Steib,6.0,29460,Gary Chambers,8.0,,Undecided,14.0,,Other,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81069,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Ohio,10/10/22,10/12/22,,"",,163339,1081,lv,,lv,,10/14/22 16:15,"",https://www.thetrafalgargroup.org/wp-content/uploads/2022/10/TRF-OH-Gen-Poll-Report-1013.pdf,"",false,REP,8942,U.S. Senate,,III,false,19168,Tim Ryan,43.8,19167,J.D. Vance,47.3,,Undecided,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81062,383,PPP,"171,1794",Chicago Sun-Times | WBEZ (Chicago),Public Policy Polling,263,Public Policy Polling,A-,IVR/Text,Illinois,10/10/22,10/11/22,,"",,163299,770,lv,,lv,,10/14/22 09:35,"",https://chicago.suntimes.com/elections/2022/10/14/23403342/poll-suntimes-wbez-pritzker-bailey-duckworth-salvi-general-election-november-governor-senate,"",false,,8928,U.S. Senate,,III,false,29281,Tammy Duckworth,50.0,30396,Kathy Salvi,36.0,29578,Bill Redpath,5.0,,Undecided,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81086,1747,Ascend Action,"","",Ascend Action,726,Ascend Action,,,Oklahoma,10/10/22,10/12/22,,"",,163427,638,lv,,lv,,10/17/22 15:30,"",https://okcfox.com/news/local/oklahoma-governor-election-midterm-2022-joy-hofmeister-kevin-stitt-democrat-republican-independent-vote-poll-ascend-action-joe-biden,"",false,,9482,U.S. Senate,,II,true,29866,Kendra Horn,39.0,29865,Markwayne Mullin,50.0,30093,Robert Murphy,0.0,30094,Ray Woods,1.0,,Undecided,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
