forecaster,cycle,date,state,call,source,notes
Cook,1998,1/30/1998,AK,Likely D,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,AL,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,AR,Likely R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,AZ,Lean R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,CA,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,CO,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,CT,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,FL,Lean R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,GA,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,HI,Lean D,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,IA,Lean R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,ID,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,IL,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,KS,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,MA,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,MD,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,ME,Likely I,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,MI,Lean R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,MN,Toss-up,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,NE,Likely R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,NH,Solid D,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,NM,Lean R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,NV,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,NY,Likely R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,OH,Lean R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,OK,Likely R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,OR,Solid D,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,PA,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,RI,Lean R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,SC,Likely R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,SD,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,TN,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,TX,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,VT,Solid D,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,WI,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,1/30/1998,WY,Solid R,CPR-1998-01-30-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,AK,Solid D,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,AL,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,AR,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,AZ,Likely R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,CA,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,CO,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,CT,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,FL,Lean R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,GA,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,HI,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,IA,Lean R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,ID,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,IL,Likely R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,KS,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,MA,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,MD,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,ME,Likely I,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,MI,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,MN,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,NE,Lean R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,NH,Solid D,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,NM,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,NV,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,NY,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,OH,Lean R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,OK,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,OR,Solid D,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,PA,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,RI,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,SC,Toss-up,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,SD,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,TN,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,TX,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,VT,Solid D,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,WI,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,10/20/1998,WY,Solid R,CPR-1998-10-20-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,AK,Likely D,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,AL,Lean R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,AR,Likely R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,AZ,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,CA,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,CO,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,CT,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,FL,Lean R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,GA,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,HI,Lean D,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,IA,Lean R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,ID,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,IL,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,KS,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,MA,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,MD,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,ME,Likely I,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,MI,Lean R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,MN,Toss-up,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,NE,Likely R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,NH,Solid D,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,NM,Lean R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,NV,Likely R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,NY,Likely R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,OH,Lean R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,OK,Likely R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,OR,Solid D,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,PA,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,RI,Lean R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,SC,Likely R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,SD,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,TN,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,TX,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,VT,Solid D,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,WI,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,11/21/1997,WY,Solid R,CPR-1997-11-21-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,AK,Lean D,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,AL,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,AR,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,AZ,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,CA,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,CO,Lean D,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,CT,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,FL,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,GA,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,HI,Likely D,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,IA,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,ID,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,IL,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,KS,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,MA,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,MD,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,ME,Likely I,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,MI,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,MN,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,NE,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,NH,Lean D,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,NM,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,NV,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,NY,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,OH,Toss-up,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,OK,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,OR,Likely D,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,PA,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,RI,Lean R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,SC,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,TN,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,TX,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,VT,Solid D,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,WI,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,12/11/1996,WY,Likely R,CPR-1996-12-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,AK,Lean D,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,AL,Likely R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,AR,Lean R,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,AZ,Toss-up,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,CA,Toss-up,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
Cook,1998,3/11/1997,CO,Toss-up,CPR-1997-03-11-_97-_98governorRATINGS.pdf,
