forecaster,cycle,date,state,call,class,incumbent,source,url,notes
Cook,1990,10/23/90,AK,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,AK,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,AL,Likely D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,CO,Lean R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,DE,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,GA,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,HI,Toss-up,i,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,IA,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,ID,Likely R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,IL,Lean D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,IN,Likely R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,IN,Likely R,iii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,KS,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,KY,Lean R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,LA,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,MA,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,ME,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,MI,Likely D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,MN,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,MS,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,MT,Likely D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,NC,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,NE,Lean D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,NH,Lean R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,NJ,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,NM,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,OK,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,OR,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,RI,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,SC,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,TN,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,TX,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,VA,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,WV,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/23/90,WY,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1ySsgKFl8xeGp8SekTNeDZFT_NauUYPby/view,
Cook,1990,10/8/90,AK,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,AK,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,AL,Likely D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,CO,Lean R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,DE,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,GA,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,HI,Toss-up,i,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,IA,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,ID,Likely R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,IL,Lean D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,IN,Likely R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,IN,Likely R,iii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,KS,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,KY,Lean R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,LA,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,MA,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,ME,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,MI,Lean D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,MN,Likely R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,MS,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,MT,Likely D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,NC,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,NE,Lean D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,NH,Lean R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,NJ,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,NM,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,OK,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,OR,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,RI,Toss-up,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,SC,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,TN,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,TX,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,VA,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,WV,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,10/8/90,WY,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/d/1yQd0zWig1Q28clylM9LPFeHV5grReB5N/view,
Cook,1990,11/16/89,AK,Solid D,ii,,PDFs Emailed to Micah,https://drive.google.com/file/u/1/d/1TZKvurptsDea5CEK-HvW7pbUB15QYuQU/view?usp=drive_open,
Cook,1990,11/16/89,AK,Solid R,ii,,PDFs Emailed to Micah,https://drive.google.com/file/u/1/d/1TZKvurptsDea5CEK-HvW7pbUB15QYuQU/view?usp=drive_open,
